feature,importance
order_messages,0.21215993
create_date_months,0.14705354
order_amount,0.10671464
partner_success_rate,0.10322799
order_changes,0.07899792
order_lines_count,0.058298983
source,0.04250678
partner_success_avg_amount,0.034503326
salesperson,0.03135712
partner_order_age_days,0.024027267
partner_total_orders,0.01871218
partner_success_avg_messages,0.016815247
partner_fail_avg_changes,0.015910657
partner_avg_amount,0.014574195
partner_total_messages,0.013427886
partner_avg_changes,0.0127551
partner_fail_avg_amount,0.012224399
partner_success_avg_changes,0.012089236
partner_fail_avg_messages,0.0115454905
month,0.010395109
day_of_week,0.009599669
hour_of_day,0.008750971
discount_total,0.004352367
quarter,0.0
